Tempo (ms),Measure (V),sinalcontrole (V)
42800.0,0.63,4.5
43000.0,0.63,4.5
43200.0,0.63,4.5
43400.0,0.63,4.5
43600.0,0.63,4.5
43800.0,0.63,4.5
44000.0,0.63,4.5
44200.0,0.63,4.5
44400.0,0.63,4.5
44600.0,0.63,4.5
44800.0,0.63,4.5
45000.0,0.63,4.5
45200.0,0.63,4.5
45400.0,0.63,4.5
45600.0,0.63,4.5
45800.0,0.63,4.5
46000.0,0.63,4.5
46200.0,0.63,4.5
46400.0,0.63,4.5
46600.0,0.63,4.5
46800.0,0.63,4.5
47000.0,0.63,4.5
47200.0,0.63,4.5
47400.0,0.63,4.5
47600.0,0.63,4.5
47800.0,0.63,4.5
48000.0,0.63,4.5
48200.0,0.63,4.5
48400.0,0.63,4.5
48600.0,0.63,4.5
48800.0,0.63,4.5
49000.0,0.63,4.5
49200.0,0.63,4.5
49400.0,0.63,4.5
49600.0,0.63,4.5
49800.0,0.63,4.5
50000.0,0.63,4.5
50200.0,0.63,4.5
50400.0,0.63,4.5
50600.0,0.63,4.5
50800.0,0.63,4.5
51000.0,0.63,4.5
